question,reference_contexts,answer,synthesizer_name
How does the addition of 30 at.% Ni in the Ni–Cr–Al alloy system influence the formation of a continuous Al₂O₃ layer and the overall oxide scale structure?,"['<1-hop>\n\n{""figure_number"": ""Fig. 11"", ""caption"": ""Fig. 11 Oxide map in the Co–Ni–Al–W-base alloys with different Cr and Al concentrations, showing the ability for forming continuous Al₂O₃ layer of these alloys after isothermal oxidation at 1000 °C in air. All the displayed plots are experimental data from literatures [14, 19] or this study. All alloys in the diagram contain 30 at.% of Ni, except the marked one."", ""image_url"": ""https://github.com/pch-pokemon/knowledge_base/raw/main/1/Fig.11.png"", ""data"": {""Cr (at.%)"": 5, ""Al (at.%)"": 11, ""type"": ""Continuous Al₂O₃ layer"", ""source"": ""Present study""}}', '<2-hop>\n\n{""content"": ""Generally, a continuous Al₂O₃ layer forms only when the Al concentration is higher than a critical value in Ni–Cr–Al or Co–Cr–Al alloy system, while internal alumina particles, such as the ones in alloy 5Cr-A, form when the Al content is below this value [28]. Therefore, increasing the solubility of Al in both γ and γ\' phases is necessary for the formation of the protective oxide. Our previous studies revealed that the addition of 30 at.% Ni significantly enlarges the γ/γ\' two-phase region towards the Al-rich side [30], resulting in an increase of Al solubility in the γ/γ\' two-phase region. Therefore, the addition of 30 at.% Ni in the present alloys is necessary for both microstructural stability and oxidation resistance.""}', '<3-hop>\n\n{""content"": ""The intermediate layer was identified as (Co, Ni)₂(Ti, Al)O₄ spinel type oxide (~5.9 μm in thickness), which enriched in O, Ti and Co. The inner oxide scale was determined as Cr₂O₃ (~4.7 μm in thickness), which enriched Cr and O. It should be pointed out that, although the Cr₂O₃ layer is seems continuous, it is porous and therefore cannot provide adequate protection from oxidation at high temperature. Fig. 7(a) also shows an internal oxide zone with a thickness of ~34.2 μm under the external oxide scale. These internal oxides are mainly enriched with O and Al, as well as moderate amounts of Ti, indicating that they were either Al₂O₃, TiO₂, or a mixture of these oxides. Compared to alloy 5Cr-A, alloy 9Cr-A has similar microstructural characteristics as shown in Fig. 7(b).""}']","The addition of 30 at.% Ni in the Ni–Cr–Al alloy system significantly enlarges the γ/γ' two-phase region towards the Al-rich side, increasing the solubility of Al in these phases. This is necessary for the formation of a continuous Al₂O₃ layer, which forms only when the Al concentration exceeds a critical value. The continuous Al₂O₃ layer provides better oxidation resistance. Additionally, the overall oxide scale structure includes an intermediate (Co, Ni)₂(Ti, Al)O₄ spinel type oxide layer and an inner Cr₂O₃ layer, which is porous and less effective at high temperatures. The internal oxides, enriched with O and Al, further indicate the presence of Al₂O₃ or TiO₂, contributing to the alloy's microstructural characteristics.",multi_hop_abstract_query_synthesizer
"How does the synergistic effect of Al and Cr influence the microstructural stability and oxidation resistance in the Co–Ni–Al–W-base alloy system, particularly when considering the role of 30 at.% Ni?","['<1-hop>\n\n{""content"": ""On the other hand, the addition of Cr has a remarkable synergistic effect with Al for accelerating the formation of Al₂O₃ layer, as the transient Cr₂O₃ provides nucleation sites for Al₂O₃ [28]. In other words, the addition of Cr reduces the critical Al concentration value for the formation of continuous Al₂O₃ layer. Fig. 11 plots an oxide map of the Co–Ni–Al–W-base alloy system at 1000 °C using available data from literatures [14,19] and data from this study, illustrating the synergistic effect of Al and Cr on the formation of a continuous Al₂O₃ layer. All of the considered alloys (Table 6) contain 30 at.% Ni except the last alloy, which contains slightly higher Ni.""}', '<2-hop>\n\n{""content"": ""Generally, a continuous Al₂O₃ layer forms only when the Al concentration is higher than a critical value in Ni–Cr–Al or Co–Cr–Al alloy system, while internal alumina particles, such as the ones in alloy 5Cr-A, form when the Al content is below this value [28]. Therefore, increasing the solubility of Al in both γ and γ\' phases is necessary for the formation of the protective oxide. Our previous studies revealed that the addition of 30 at.% Ni significantly enlarges the γ/γ\' two-phase region towards the Al-rich side [30], resulting in an increase of Al solubility in the γ/γ\' two-phase region. Therefore, the addition of 30 at.% Ni in the present alloys is necessary for both microstructural stability and oxidation resistance.""}', '<3-hop>\n\n{""content"": ""In this work, three Co–30Ni-xAl-(15-x)W–1Ta–4Ti-yCr multi-component alloys were systematically investigated, including the microstructural stability, partitioning behavior, oxidation property, γ\' phase nano-hardness and alloy density. The following specific conclusions can be drawn based on the present study: 1. Increasing Cr content improves the oxidation resistance at 1000 °C and the hardness of the γ\' phase; however, it reduces the Tγ\'-solvus and promotes the precipitation of deleterious μ phase. 2. Increasing Al/W ratio not only predominantly enhances the oxidation resistance at 1000 °C and reduces the alloy density, but also increases the γ\' volume fraction and the γ/γ\' lattice misfit; however, it slightly softens the γ\' phase. 3.""}']","The synergistic effect of Al and Cr in the Co–Ni–Al–W-base alloy system significantly enhances the formation of a continuous Al₂O₃ layer, as Cr provides nucleation sites for Al₂O₃, reducing the critical Al concentration needed. This is illustrated in Fig. 11, which shows the oxide map at 1000 °C. Additionally, the presence of 30 at.% Ni is crucial as it enlarges the γ/γ' two-phase region towards the Al-rich side, increasing Al solubility and thereby contributing to both microstructural stability and oxidation resistance. This dual benefit ensures that the alloy maintains its protective oxide layer and structural integrity under high-temperature conditions.",multi_hop_abstract_query_synthesizer
How do the oxidation resistances of alloy 5Cr-B and alloy 9Cr-A compare to Cr-free Co-Al-W ternary alloys and how does the two-phase microstructure affect the mole fraction calculation in these alloys?,"['<1-hop>\n\n{""content"": ""In Co–Al–W ternary alloys, the values of $K_{γ\'/γ}^{Al}$ and $K_{γ\'/γ}^W$ are commonly close to 1.0 and 2.0, respectively [35,42,47], indicating that W has a higher driving force for distributing to the γ\' phase compared to Al. While the addition of Ni can increase the $K_{γ\'/γ}^{Al}$ and reduce the $K_{γ\'/γ}^W$ in Co–Ni-base alloys, compared with the Co–Al–W-base alloys [27]. Furthermore, the addition of Cr has the similar effects to that of Ni in Co–Ni-base alloys [22,45,48]. In this study, the $K_{γ\'/γ}^{Al}$ and $K_{γ\'/γ}^W$ of the experimental alloys are close to 1.6 and 1.0 (Table 4), distinctly different from those of Co–Al–W ternary alloys.""}', '<2-hop>\n\n{""content"": ""Fig. 6(b) indicates that the oxidation resistances of alloy 5Cr−B and alloy 9Cr-A are much better than those reported for Cr-free Co−Al−W-base alloys [18,19]. In addition, they are comparable with commercial Ni-base superalloys Waspaloy and Udimet 720 [37] under the same oxidation condition, however, further improvement is needed in comparison with 1st and 2nd generation single crystal superalloy CMXS-6 and CMSX-4 [38]. It should be noted that, the higher Cr content could lead to a significant reduction of T_{γ\'-solvus} (Table 1), limiting its temperature capability. Thus, the Cr content of Co−Ni-base alloys should be carefully controlled when aiming for high temperature capability.""}', '<3-hop>\n\n{""content"": ""In alloy systems consisting of two-phase microstructure, the lever rule based on the mass balance equation can be used to calculate the mole fraction from the elemental concentrations in each phase and the nominal alloy composition. The mole fraction of γ\' phase can thus be estimated by the slope of a line following: $$(C^X_{alloy} - C^X_γ) = f_{γ\'} (C^X_{γ\'} - C^X_γ)$$ (3) where f_{γ\'} is the mole fractions of γ\' phase (the slope); C^X_{alloy} is the nominal concentration of element X in the alloys. Such a plot for alloy 5Cr-A and alloy 5Cr−B is given in Fig. 5. The data of alloy 9Cr-A was not considered due to the precipitation of μ phase.""}']","The oxidation resistances of alloy 5Cr-B and alloy 9Cr-A are much better than those reported for Cr-free Co-Al-W ternary alloys and are comparable with commercial Ni-base superalloys Waspaloy and Udimet 720 under the same oxidation conditions. However, further improvement is needed compared to 1st and 2nd generation single crystal superalloys CMXS-6 and CMSX-4. In alloy systems with a two-phase microstructure, the mole fraction of the γ' phase can be estimated using the lever rule based on the mass balance equation, which involves calculating the slope of a line from the elemental concentrations in each phase and the nominal alloy composition. This method is illustrated for alloy 5Cr-A and alloy 5Cr-B, but data for alloy 9Cr-A was not considered due to the precipitation of the μ phase.",multi_hop_abstract_query_synthesizer
How do the microstructure changes at high temperatures affect the isothermal oxidation of alloys?,"['<1-hop>\n\n{""figure_number"": ""Fig. 7"", ""caption"": ""Fig. 7 SEM-BSE images of the typical oxide scales in the alloys (a) 5Cr-A, (b) 9Cr-A and (c) 5Cr–B after isothermal oxidation at 1000 °C for 100 h in air, as well as (d) their XRD results."", ""image_url"": ""https://github.com/pch-pokemon/knowledge_base/raw/main/1/Fig.7.png""}', '<2-hop>\n\n{""content"": ""The samples aged at 1000 °C for 1000 h were selected as the bulk specimens for nanoindentation, as the microstructure consisted of coarsened γ\' precipitates - enabling separate indentation on single precipitates. The samples were first mechanically polished and then further polished with an electrolytic solution of 80% CH₃OH and 20% H₂SO₄ (by volume) at 20 V for 20 s, in order to ensure complete removal of any plastically deformed layers. Nanoindentation was performed with an Agilent Nano Indenter G200 using the continuous stiffness method (CSM) [32]. The strain rate and Poisson\'s ratio were 0.05 s⁻¹ and 0.3, respectively, while maximum load displacement was set as 100 nm. The hardness of γ\' phase was determined by analyzing the load-displacement curves using the Oliver-Pharr method [33].""}', '<3-hop>\n\n{""content"": ""To alleviate this problem, most of the reported Cr-containing Co–Al–W-base alloys utilize ~30 at.% Ni additions to improve their microstructural stability [14,17,23–26], as Ni has been shown to enlarge the γ/γ\' two-phase region [27]. Another issue is that the addition of Cr decreases the γ\' solvus temperature of Co–Al–W-base alloys, which is essential for the high temperature capability of superalloys. Thus, the addition of Cr to Co–Al–W-base alloys should be optimized carefully.""}']","The microstructure changes at high temperatures, such as the coarsening of γ' precipitates in samples aged at 1000 °C for 1000 h, enable separate indentation on single precipitates, which is crucial for understanding the material's behavior. These changes are significant for isothermal oxidation, as seen in the SEM-BSE images of oxide scales in alloys after isothermal oxidation at 1000 °C for 100 h. Additionally, the careful optimization of Cr addition to Co–Al–W-base alloys is essential to maintain high temperature capability, which is directly related to their performance during isothermal oxidation.",multi_hop_abstract_query_synthesizer
How does the variation in nickel content and the presence of alloy 9Cr-A impact the $K_{γ'/γ}^{Ta}$ value in high-performance alloys?,"['<1-hop>\n\n{""content"": ""The data of alloy 9Cr-A was not considered due to the precipitation of μ phase. Using linear regression analysis, the γ\' mole fractions of alloy 5Cr-A and alloy 5Cr−B are calculated as 75.7 ± 3.4% and 84.7 ± 2.5%, respectively (These values are also listed in Table 2). The γ\' contents from APT analysis and SEM image analysis exhibit ~5% error, which may come from the deviation between 2D image analysis and 3D volume fraction, as well as the deviation between mole fraction and volume fraction.""}', '<2-hop>\n\n{""content"": ""All of the considered alloys (Table 6) contain 30 at.% Ni except the last alloy, which contains slightly higher Ni. None of the alloys contain Si or B in order to eliminate their effect, although Si and B could significantly promote the formation of continuous Al₂O₃ layer at high temperature [16,19]. The green dashed line in Fig. 11 indicates the approximate critical value of Al content for continuous Al₂O₃ formation at 1000 °C, suggesting that increasing the Cr content would reduce the critical value of Al concentration. The relationship between the critical Al content and Cr content is significant for compositional optimization of Co–Ni–Al–W-base alloys, but it requires more experimental data for a more definitive results.""}', '<3-hop>\n\n{""content"": ""The data reported by Pandey at el [48]. indicate that increasing Cr content had no appreciable effect on $K_{γ\'/γ}^{Ta}$ and $K_{γ\'/γ}^{Ti}$ in Co–30Ni–10Al–5Mo–2Ta–2Ti-xCr system. However, the present results indicate that increasing the Cr content resulted in an increase of the $K_{γ\'/γ}^{Ta}$ and $K_{γ\'/γ}^{Ti}$ (Fig. 4(d), Table 4). According to above discussion, it is clear that the additional Cr can result in higher $K_{γ\'/γ}^{Al}$ and $K_{γ\'/γ}^{Ti}$ and lower $K_{γ\'/γ}^W$, but the effects of Cr on the $K_{γ\'/γ}^{Co}$, $K_{γ\'/γ}^{Ni}$, $K_{γ\'/γ}^{Ta}$ and $K_{γ\'/γ}^{Ti}$ still need to further confirmed with more experimental data.""}']","The variation in nickel content, where all considered alloys contain 30 at.% Ni except the last one which has slightly higher Ni, does not directly impact the $K_{γ'/γ}^{Ta}$ value as per the data reported. However, alloy 9Cr-A was not considered in the analysis due to the precipitation of the μ phase. The present results indicate that increasing the Cr content, which is a component of alloy 9Cr-A, results in an increase of the $K_{γ'/γ}^{Ta}$ value. This suggests that the Cr content has a more significant effect on $K_{γ'/γ}^{Ta}$ than the nickel content, although further experimental data is needed to confirm these effects comprehensively.",multi_hop_abstract_query_synthesizer
"How do the variations in Cr and Al concentrations in Co–Ni–Al–W-base alloys affect their microstructural stability and high temperature capability, as evidenced by experimental studies and oxide layer formation?","['<1-hop>\n\n{""figure_number"": ""Fig. 11"", ""caption"": ""Fig. 11 Oxide map in the Co–Ni–Al–W-base alloys with different Cr and Al concentrations, showing the ability for forming continuous Al₂O₃ layer of these alloys after isothermal oxidation at 1000 °C in air. All the displayed plots are experimental data from literatures [14, 19] or this study. All alloys in the diagram contain 30 at.% of Ni, except the marked one."", ""image_url"": ""https://github.com/pch-pokemon/knowledge_base/raw/main/1/Fig.11.png"", ""data"": {""Cr (at.%)"": 9, ""Al (at.%)"": 9, ""type"": ""Non-continuous Al₂O₃ layer"", ""source"": ""Present study""}}', '<2-hop>\n\n{""content"": ""Three Co–30Ni-xAl-(15-x)W–1Ta–4Ti-yCr septenary alloys were systematically studied with the aim of developing multiple-component Co–Ni-base alloys with balanced properties. The microstructural stabilities were investigated at 1000 °C and 1100 °C after long-term aging. The experimental results indicate that increasing the Cr content significantly reduces the microstructural stability and promotes the precipitation of μ phase; while increasing Al/W ratio increases the γ\' volume fraction and the γ/γ\' lattice misfit. At the same time, increasing the Cr content increases the hardness of γ\' phase and increasing Al/W ratio shows the opposite effect. The APT results reveal that such effects should be mainly attributed to the change of elemental partitioning behaviors between the γ and γ\' phases.""}', '<3-hop>\n\n{""content"": ""To alleviate this problem, most of the reported Cr-containing Co–Al–W-base alloys utilize ~30 at.% Ni additions to improve their microstructural stability [14,17,23–26], as Ni has been shown to enlarge the γ/γ\' two-phase region [27]. Another issue is that the addition of Cr decreases the γ\' solvus temperature of Co–Al–W-base alloys, which is essential for the high temperature capability of superalloys. Thus, the addition of Cr to Co–Al–W-base alloys should be optimized carefully.""}']","The variations in Cr and Al concentrations in Co–Ni–Al–W-base alloys significantly impact their microstructural stability and high temperature capability. Experimental studies, as shown in Fig. 11, demonstrate the ability of these alloys to form a continuous Al₂O₃ layer after isothermal oxidation at 1000 °C, which is crucial for their high temperature performance. The microstructural stability was investigated at 1000 °C and 1100 °C, revealing that increasing Cr content reduces microstructural stability and promotes μ phase precipitation, while increasing the Al/W ratio enhances the γ' volume fraction and γ/γ' lattice misfit. Additionally, increasing Cr content increases the hardness of the γ' phase, whereas increasing the Al/W ratio has the opposite effect. These changes are attributed to the elemental partitioning behaviors between the γ and γ' phases. Furthermore, the addition of ~30 at.% Ni is used to improve microstructural stability, although Cr addition decreases the γ' solvus temperature, which is essential for high temperature capability. Therefore, the addition of Cr must be carefully optimized to balance these properties.",multi_hop_abstract_query_synthesizer
"How does the addition of Cr influence the formation of Al₂O₃ layers and the microstructural stability of Co–Al–W-base alloys, particularly in relation to γ' precipitates?","['<1-hop>\n\n{""content"": ""On the other hand, the addition of Cr has a remarkable synergistic effect with Al for accelerating the formation of Al₂O₃ layer, as the transient Cr₂O₃ provides nucleation sites for Al₂O₃ [28]. In other words, the addition of Cr reduces the critical Al concentration value for the formation of continuous Al₂O₃ layer. Fig. 11 plots an oxide map of the Co–Ni–Al–W-base alloy system at 1000 °C using available data from literatures [14,19] and data from this study, illustrating the synergistic effect of Al and Cr on the formation of a continuous Al₂O₃ layer. All of the considered alloys (Table 6) contain 30 at.% Ni except the last alloy, which contains slightly higher Ni.""}', '<2-hop>\n\n{""content"": ""The γ\' precipitates plays a critical role for superalloys, a high value of γ\' volume fraction is commonly desired for improving the creep resistance [20]. In this study, increasing Cr content from 5 to 9 at.% distinctly reduced the γ\' volume fraction at both 1000 °C and 1100 °C (Table 2), because the Cr content increase resulted in a distinct reduction of the γ\' solvus temperature (by 30 °C, Table 1). This is consistant with first-principle studies [46] and thermodynamic calculation [21], which point out that Cr could reduce the thermodynamic stability of the γ\' phase. On the other hand, increasing the Al/W ratio increased the γ\' volume fraction.""}', '<3-hop>\n\n{""content"": ""To alleviate this problem, most of the reported Cr-containing Co–Al–W-base alloys utilize ~30 at.% Ni additions to improve their microstructural stability [14,17,23–26], as Ni has been shown to enlarge the γ/γ\' two-phase region [27]. Another issue is that the addition of Cr decreases the γ\' solvus temperature of Co–Al–W-base alloys, which is essential for the high temperature capability of superalloys. Thus, the addition of Cr to Co–Al–W-base alloys should be optimized carefully.""}']","The addition of Cr has a synergistic effect with Al, accelerating the formation of Al₂O₃ layers by providing nucleation sites through transient Cr₂O₃, thereby reducing the critical Al concentration for continuous Al₂O₃ layer formation. However, increasing Cr content reduces the γ' volume fraction and the γ' solvus temperature, which negatively impacts the thermodynamic stability of the γ' phase. To counteract this and improve microstructural stability, ~30 at.% Ni is added to Cr-containing Co–Al–W-base alloys, as Ni enlarges the γ/γ' two-phase region, essential for high-temperature capability. Thus, the addition of Cr must be carefully optimized to balance these effects.",multi_hop_abstract_query_synthesizer
"How do temperature effects and alloy composition influence the performance and suitability of 5Cr-A and 5Cr-B superalloys for engineering applications, particularly in terms of creep resistance and oxidation properties?","['<1-hop>\n\n{""content"": ""When the temperature increased to 1100 °C, the δ of alloy 5Cr-B distinctly reduced to ~0, deduced by the spherical γ\' morphology. Considering the δ of alloy 5Cr-A at 1100 °C, it can only be infered from the present results that its magnitude was higher than that of alloy 5Cr-B. In general, the coherent strengthening effect of γ\' phase is predominantly associated with the magnitude of δ [20]. Therefore, alloy 5Cr-A may exhibit better creep resistance than that of alloy 5Cr-B as their γ\' volume fractions are similar at 1100 °C. However, alloy 5Cr-B with high Al/W ratio exhibited distinctly higher oxidation property and lower alloy density compared to alloy 5Cr-A, indicating that alloy 5Cr-B may be more suitable for engineering application over alloy 5Cr-A at about 1000 °C.""}', '<2-hop>\n\n{""content"": ""Fig. 4(a), (b), and (c) show the reconstructed 3DAP specimens of alloy 5Cr-A, alloy 9Cr-A and alloy 5Cr-B after aging at 1000 °C for 1000 h followed by water quenching, respectively. The γ/γ\' interfaces of these three alloys are distinguished using 7.6 at.%, 11.0 at.% and 7.9 at.% Cr iso-concentration surfaces, respectively, as Cr predominantly partitions to the γ phase rather than the γ\' phase in all of the experimental alloys. Secondary γ\' particles are dispersed in the γ matrix, which precipitated during cooling as the solubilities of solute elements at room temperature are commonly lower than that at high temperature [36]. Significant differences of solute distribution exist between the primary γ\' phase and γ matrix in all experimental alloys.""}', '<3-hop>\n\n{""content"": ""The elemental partitioning behavior is crucial for superalloys as it dominates not only the lattice parameters of γ and γ\' phases, but also the thermodynamic stability and mechanical behavior of the γ and γ\' phases [20]. Therefore, many studies have investigated the elemental partitioning between phases in Co-Al-W-base alloys as part of the development of these new materials [22,24,27,35,42-45]. However, most of these researches have focused on quaternary alloy systems [22,27,35,42-44], often aged for short-term [24,27,35,42-45], such as 40-200 h. Thus, research on the elemental partitioning behavior after long-term aging (closer to equilibrium), such as 1000 h, is still limited [22], especially in multiple-component alloy systems.""}']","At 1100 °C, the δ of alloy 5Cr-B distinctly reduced to ~0 due to the spherical γ' morphology, indicating a potential decrease in creep resistance. In contrast, alloy 5Cr-A exhibited a higher δ at the same temperature, suggesting better creep resistance despite similar γ' volume fractions. However, alloy 5Cr-B, with a high Al/W ratio, showed higher oxidation resistance and lower density, making it more suitable for engineering applications around 1000 °C. The elemental partitioning behavior, particularly the distribution of Cr which predominantly partitions to the γ phase, also plays a crucial role in determining the lattice parameters, thermodynamic stability, and mechanical behavior of these alloys. Long-term aging studies, such as those conducted for 1000 h, are essential to understand these properties in multiple-component alloy systems, as they provide insights closer to equilibrium conditions.",multi_hop_abstract_query_synthesizer
"How do the microstructural characteristics and oxide scale thickness of alloy 5Cr-B compare to those of alloys 5Cr-A and 9Cr-A, and what factors might contribute to the observed differences?","['<1-hop>\n\n{""content"": ""The data of alloy 9Cr-A was not considered due to the precipitation of μ phase. Using linear regression analysis, the γ\' mole fractions of alloy 5Cr-A and alloy 5Cr−B are calculated as 75.7 ± 3.4% and 84.7 ± 2.5%, respectively (These values are also listed in Table 2). The γ\' contents from APT analysis and SEM image analysis exhibit ~5% error, which may come from the deviation between 2D image analysis and 3D volume fraction, as well as the deviation between mole fraction and volume fraction.""}', '<2-hop>\n\n{""content"": ""Compared to alloy 5Cr-A and alloy 9Cr-A, alloy 5Cr-B had a distinctly thinner oxide scale (~5.3 μm in thickness), which had different microstructural characteristics, as shown in Fig. 7(c). Instead of internal Al₂O₃ particles, a dense continuous Al₂O₃ layer with a thickness of 1.3 μm formed adjacent to the alloy matrix. The oxide scale of alloy 5Cr-B generally consisted of four layers - (Co, Ni)O layer, (Co, Ni)₂(Ti, Al)O₄ layer, Cr₂O₃ layer and Al₂O₃ layer, from the outside to the inside. It should be noted that a very thin, mixed oxide scale (bright contrast) formed between the Cr₂O₃ layer and Al₂O₃ layer.""}', '<3-hop>\n\n{""content"": ""Three experimental alloys, Co–30Ni–9Al–6W–1Ta–4Ti–5Cr (5Cr-A), Co–30Ni–9Al–6W–1Ta–4Ti–9Cr (9Cr-A), and Co–30Ni–11Al–4W–1Ta–4Ti–5Cr (5Cr–B) (at.%), were investigated; the alloy names are related to the Cr concentration and Al/W ratio. Alloy ingots were produced by arc melting under argon atmosphere, using elemental metals with purity of 99.99%. Alloy densities were experimentally measured using the water displacement approach based on the Archimedes principle, while the γ\' solvus temperature was determined using a NETZSCH STA 449C differential scanning calorimeter (DSC) with a heating rate of 10 °C min⁻¹ between 600 °C and 1300 °C. The alloy bulks were then sealed in quartz tubes filled with Ar gas, and solution heat treated at 1250 °C for 24 h, followed by air cooling.""}']","Alloy 5Cr-B exhibits a distinctly thinner oxide scale of approximately 5.3 μm in thickness compared to alloys 5Cr-A and 9Cr-A. The microstructural characteristics of alloy 5Cr-B include a dense continuous Al₂O₃ layer with a thickness of 1.3 μm adjacent to the alloy matrix, and its oxide scale generally consists of four layers: (Co, Ni)O, (Co, Ni)₂(Ti, Al)O₄, Cr₂O₃, and Al₂O₃, from the outside to the inside. In contrast, alloy 9Cr-A was not considered in the data due to the precipitation of the μ phase. The differences in oxide scale thickness and microstructure can be attributed to variations in Cr concentration and Al/W ratio, as well as the specific processing methods used, such as arc melting under argon atmosphere and solution heat treatment at 1250 °C for 24 h followed by air cooling.",multi_hop_abstract_query_synthesizer
How does the addition of Chromium affect the formation of Al₂O₃ layers in Co–Ni–Al–W-base alloys?,"['<1-hop>\n\n{""content"": ""According to above discussion, it is clear that the additional Cr can result in higher $K_{γ\'/γ}^{Al}$ and $K_{γ\'/γ}^{Ti}$ and lower $K_{γ\'/γ}^W$, but the effects of Cr on the $K_{γ\'/γ}^{Co}$, $K_{γ\'/γ}^{Ni}$, $K_{γ\'/γ}^{Ta}$ and $K_{γ\'/γ}^{Ti}$ still need to further confirmed with more experimental data. The differences of $K_{γ\'/γ}^{Al}$ and $K_{γ\'/γ}^W$ between Co–Al–W-base and Co–Ni–Al–W–Cr-base alloys must be taken into account in the design of these alloys, as Al and W are essential γ\' forming elements in Co-base superalloys. It should be noted that the elemental partitioning behaviors of present Co–Ni-base alloys were somehow closer to that of Ni-base superalloys [50], compared with that of Co–Al–W-base alloys.""}', '<2-hop>\n\n{""content"": ""On the other hand, the addition of Cr has a remarkable synergistic effect with Al for accelerating the formation of Al₂O₃ layer, as the transient Cr₂O₃ provides nucleation sites for Al₂O₃ [28]. In other words, the addition of Cr reduces the critical Al concentration value for the formation of continuous Al₂O₃ layer. Fig. 11 plots an oxide map of the Co–Ni–Al–W-base alloy system at 1000 °C using available data from literatures [14,19] and data from this study, illustrating the synergistic effect of Al and Cr on the formation of a continuous Al₂O₃ layer. All of the considered alloys (Table 6) contain 30 at.% Ni except the last alloy, which contains slightly higher Ni.""}']","The addition of Chromium has a remarkable synergistic effect with Aluminum for accelerating the formation of Al₂O₃ layers in Co–Ni–Al–W-base alloys. This is because the transient Cr₂O₃ provides nucleation sites for Al₂O₃, thereby reducing the critical Al concentration value required for the formation of a continuous Al₂O₃ layer. This synergistic effect is illustrated in an oxide map of the alloy system at 1000 °C, which shows the interaction between Al and Cr in promoting the formation of a continuous Al₂O₃ layer.",multi_hop_abstract_query_synthesizer
"How does the variation in Ni concentration influence the critical Al content in Co–Ni–Al–W-base alloys, and what is the significance of this relationship for compositional optimization?","['<1-hop>\n\n{""content"": ""The relationship between the critical Al content and Cr content is significant for compositional optimization of Co–Ni–Al–W-base alloys, but it requires more experimental data for a more definitive results. Considering the sparcity of available data in literature, this figure provides a good starting point for the optimization of Al and Cr levels with respect to continuous Al₂O₃ formation. In addition, the critical Al concentration is not only affected by the Cr concentration, but also the Ni concentration, which increases the interdiffusion coefficients of alloying elements in otherwise Co-rich matrix [59]. Therefore, the effect of Ni on the critical Al concentration needs to be further explored.""}', '<2-hop>\n\n{""content"": ""All of the considered alloys (Table 6) contain 30 at.% Ni except the last alloy, which contains slightly higher Ni. None of the alloys contain Si or B in order to eliminate their effect, although Si and B could significantly promote the formation of continuous Al₂O₃ layer at high temperature [16,19]. The green dashed line in Fig. 11 indicates the approximate critical value of Al content for continuous Al₂O₃ formation at 1000 °C, suggesting that increasing the Cr content would reduce the critical value of Al concentration. The relationship between the critical Al content and Cr content is significant for compositional optimization of Co–Ni–Al–W-base alloys, but it requires more experimental data for a more definitive results.""}']","The variation in Ni concentration influences the critical Al content in Co–Ni–Al–W-base alloys by increasing the interdiffusion coefficients of alloying elements in an otherwise Co-rich matrix. This effect necessitates further exploration to understand its impact on the critical Al concentration. The significance of this relationship lies in its role in compositional optimization, as the critical Al content is also affected by Cr concentration, and increasing Cr content reduces the critical Al concentration. This interplay is crucial for achieving continuous Al₂O₃ formation, particularly at high temperatures, and requires more experimental data for definitive results.",multi_hop_specific_query_synthesizer
How do the elemental partitioning behaviors of Cr and Al/W ratio influence the microstructural stability and oxidation resistance in Co-base superalloys?,"['<1-hop>\n\n{""content"": ""Microstructural stability, oxidation resistance and the hardness of γ\' phase are important for the evaluation of newly designed Co-base superalloys. All these characteristic parameters are associated with the elemental partitioning behavior. With the aim of elucidating the effects of Cr and Al/W ratio on the parameters mentioned above, the following discussion were addressed.""}', '<2-hop>\n\n{""keywords"": [""Co-Ni-base superalloys"", ""APT"", ""Partitioning behavior"", ""Microstructural stability"", ""Oxidation""]}']","The elemental partitioning behaviors of Cr and Al/W ratio are crucial for evaluating the microstructural stability, oxidation resistance, and hardness of the γ' phase in newly designed Co-base superalloys. These characteristic parameters are directly associated with how elements are distributed within the alloy, which in turn affects their overall performance and durability.",multi_hop_specific_query_synthesizer
